,House type,Prices,Description
0,Newly Built Home,"GH₵ 2,100,000","*4 bedrooms storey for sale*
 *location: oyarifa .
 *description*
4 bedrooms all en suite.
5..."
1,Uncompleted House for Sale in Prampram,"GH₵ 190,000",Its a Lentil level house
2,4bdrm Townhouse/Terrace in Airport Residential Area for sale,"GH₵ 10,000,000","FOUR BEDROOM TOWNHOUSE FOR SALES
Location: Airport Residential
Price: USD 800,000..."
3,Tema Community 25 New 2bedroom for Rent,"GH₵ 2,000","Reference O.V.R. Williams
Executive newly 2 bedrooms whit 2 air conditioner 
3 washroom wardrobe..."
4,4bdrm Townhouse/Terrace in Ashongman Estate for sale,"GH₵ 1,200,000","4 bedrooms Townhouses for sale at Ashomang Estate
104500"
5,"4bdrm Townhouse/Terrace in Acp, Mile 7 for Sale","GH₵ 3,305,960","4 bedroom townhouses for sale & for rent
location: *achimota mile 7*
document: *land title..."
6,"4bdrm Townhouse/Terrace in Adjiringanor Botwe, Accra Metropolitan","GH₵ 2,380,000","4-bedroom townhouse houses for sale $170,000 negotiable at Adjiringanor Botwe, Opened Kitchen,..."
7,"4bdrm Townhouse/Terrace in Bee Decor And Homes, Oyarifa for sale","GH₵ 2,800,000","Features,
#Air conditioners in all the rooms( Living area and bedrooms)
# Water heaters in bathrooms..."
8,New Houses Situated at Oyarifa for Sale,"GH₵ 2,507,263","3-4 New Bedroom Houses situated Oyarifa
 minutes drive to the main road 
In a gated community with..."
9,"3,4 5 Bedroom Houses for Sale on Ofplan. Very Affordable","GH₵ 800,000","The Above pictures shows a 2,3,4,&5 bedroom houses designs
comprising of duplexes and triplex..."
10,Pantang New Single Room Self Continue for Rent,"GH₵ 1,000","Reference T H. Williams
Newly-built single room at Pantang PNT.
per month for a..."
11,2bdrm Townhouse/Terrace in Botwe for sale,"GH₵ 1,300,000","Newly built 2bedroom semi-detached townhouses for sale at Botwe school junction
$115,000. Slightly..."
12,"3bdrm Townhouse/Terrace in Ability, Adjiriganor for Sale","GH₵ 3,273,500","Modern styled 3 bedroom townhouse with boys quarters for rent/sale at Adjiringanor
* All rooms..."
13,4bdrm Townhouse/Terrace in North Legon for Sale,"GH₵ 2,916,826",Newly built 3Bedroom Townhouses with 1bedroom BQ for sale at north legon. 24200$. Located in a...
14,"4bdrm Townhouse/Terrace in East Legon Hills, Accra Metropolitan","GH₵ 4,900,000","4 bedrooms townhouse
readily available for sale now. 
 east legon hills 
price : $350,000
* 4..."
15,"3bdrm Townhouse/Terrace in Bee Decor And Homes, North Legon for sale","GH₵ 2,900,000",The property is located in the cheat of A good and sweet environment with all roads tarred . The...
16,4bdrm House in Newly Built Four for Sale,"GH₵ 3,000,000",Four bedroom ensuite newly built at a serene environment within Tema Metropolis. Built with modern...
17,8bdrm Apartment In Dome Pillar 2 For Sale,"GH₵ 4,600,000","ONE STOREY, 2 BEDROOM, 4 UNIT APARTMENT FOR SALE AT DOME PILLAR 2 
2 bedrooms with 1 toilet and..."
18,West Trasacco 3bedroom for Rent,"GH₵ 7,700","Reference T.H. Williams
 *RENTAL AVAILABLE* 
3 bedroom unfurnished apartment 
 #Location: West..."
19,"3bdrm Townhouse/Terrace in Transitions, Haatso for Sale","GH₵ 1,601,550","Newly built 3bedroom house in a gated community
$150,000"
20,"3bdrm Townhouse/Terrace in Ashongman, Ashaley Botwe for sale","GH₵ 1,050,000","Newly built 3bedroom townhouses for sale at Ashomang Estate
$90,700"
21,"4bdrm Townhouse/Terrace in West Legon Atomic, Accra Metropolitan","GH₵ 2,200,000","4bedrooms townhouse for sale $200,000 negotiable at West Legon Atomic road, Serene environment, good..."
22,"4bdrm Townhouse/Terrace in Botwe School, Accra Metropolitan for Sale","GH₵ 3,300,000","Luxurious 4-bedroom Smart Townhouses with boys quarters for sale $300,000 negotiable at Botwe School..."
